num_epochs,learning_rate,lr_decay_factor,lr_decay_step,regularization,final_train_loss,final_valid_loss
250,0.001,0.3,350,0.01,1.5184613354504108,1.6512545347213745
250,0.001,0.3,350,0.1,2.3025071769952774,2.3024485111236572
250,0.001,1,100,0,1.670064028352499,1.620375245809555
250,0.001,1,100,0.001,1.4683910682797432,1.6540590524673462
250,0.001,1,100,0.01,1.5169565677642822,1.6455904841423035
250,0.001,1,100,0.1,2.30251045525074,2.3025801181793213
250,0.001,1,250,0,1.6416203267872334,1.6372144520282745
250,0.001,1,250,0.001,1.4672506488859653,1.659850299358368
250,0.001,1,250,0.01,1.5212135016918182,1.6191108226776123
250,0.001,1,250,0.1,2.3024990409612656,2.302543580532074
250,0.001,1,350,0,1.6604959554970264,1.6264665722846985
250,0.001,1,350,0.001,1.4713631235063076,1.6013630032539368
250,0.001,1,350,0.01,1.520609650760889,1.6202686131000519
250,0.001,1,350,0.1,2.3025014623999596,2.3024258613586426
250,0.005,0.1,100,0,1.6637393310666084,1.6492858827114105
250,0.005,0.1,100,0.001,1.468450266867876,1.6254309117794037
250,0.005,0.1,100,0.01,1.517969749867916,1.6984984576702118
250,0.005,0.1,100,0.1,2.302518919110298,2.30239999294281
250,0.005,0.1,250,0,1.6873454302549362,1.6626571714878082
250,0.005,0.1,250,0.001,1.4706948325037956,1.580174833536148
250,0.005,0.1,250,0.01,1.5204519182443619,1.6419949233531952
250,0.005,0.1,250,0.1,2.302517279982567,2.302607774734497
250,0.005,0.1,350,0,1.6775570102036,1.6693159639835358
250,0.005,0.1,350,0.001,1.4682644717395306,1.6263090670108795
250,0.005,0.1,350,0.01,1.5210207849740982,1.6179720163345337
250,0.005,0.1,350,0.1,2.302497386932373,2.3025139570236206
250,0.005,0.2,100,0,1.6599679999053478,1.6593579947948456
250,0.005,0.2,100,0.001,1.4682803452014923,1.6226949393749237
250,0.005,0.2,100,0.01,1.519541073590517,1.68149733543396
250,0.005,0.2,100,0.1,2.302513509988785,2.302497684955597
250,0.005,0.2,250,0,1.6598347872495651,1.639252483844757
250,0.005,0.2,250,0.001,1.4659824408590794,1.6374007761478424
250,0.005,0.2,250,0.01,1.5222847200930119,1.6275578439235687
250,0.005,0.2,250,0.1,2.3025086373090744,2.302614390850067
250,0.005,0.2,350,0,1.6591618955135345,1.671435296535492
250,0.005,0.2,350,0.001,1.4689530283212662,1.6157097816467285
250,0.005,0.2,350,0.01,1.5195207968354225,1.6224243342876434
250,0.005,0.2,350,0.1,2.3025223687291145,2.302533507347107
250,0.005,0.3,100,0,1.6618434488773346,1.6945696473121643
250,0.005,0.3,100,0.001,1.4724829383194447,1.6399759352207184
250,0.005,0.3,100,0.01,1.5226332657039165,1.5946263670921326
250,0.005,0.3,100,0.1,2.3025032356381416,2.302533805370331
250,0.005,0.3,250,0,1.670623417943716,1.656541109085083
250,0.005,0.3,250,0.001,1.4703493230044842,1.6100100576877594
250,0.005,0.3,250,0.01,1.518174633383751,1.6388182044029236
250,0.005,0.3,250,0.1,2.3025147393345833,2.3026403188705444
250,0.005,0.3,350,0,1.644435115158558,1.6406049132347107
